title|channel|viewCount|postedDate|description|imagePath|videoLink|channelLink|subscriberCount|totalLikes|totalDislikes

    Step-by-step ASP.NET MVC Tutorial for Beginners
  |Programming with Mosh|195,947 views|Published on May 28, 2016|Want to learn ASP.NET MVC 5 from scratch in a fun, step-by-step and pragmatic way? Watch this tutorial and you'll start coding in a few minutes. This video is the first hour of my complete 7.5-hour ASP.NET MVC 5 course on Udemy. Get the complete course with a discount using the link below:Table of Content: Introduction ASP.NET MVC Architecture Setting Up the Development Environment Your First ASP.NET MVC 5 App MVC in Action Adding a Theme Action Results Action Parameters Convention-based Routing Attribute-based Routing Passing Data to the Views View Models Razor Views Partial ViewsI have several other courses on C#, Entity Framework, Angular 2 and more. Check out my courses here:|https://yt3.ggpht.com/-M5dC6oK2X-g/AAAAAAAAAAI/AAAAAAAAAAA/kb-AdGqXbgM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|https://www.youtube.com/watch?v=E7Voso411Vs|https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA|32,928|1,755|34

    Create a website with ASP.Net - Part 1
  |Michiel Wouters|385,580 views|Published on Sep 9, 2012|Download this project:Starter pack:Discuss on the Forums:|https://yt3.ggpht.com/-0291mWonToY/AAAAAAAAAAI/AAAAAAAAAAA/yDtmAwwiepA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|https://www.youtube.com/watch?v=aUx2Bdx68f4|https://www.youtube.com/channel/UCKzFjLLaG4BV_VtZNfEV3gw|11,228|939|49

    ASP.NET Tutorial 1- Introduction and Creating Your First ASP.NET Web Site
  |ProgrammingKnowledge|519,848 views|Published on Dec 8, 2013|Good tutorials for beginners using ASP.NET/C#A Beginner's Tutorial for Understanding and Implementing ASP.NETBeginners Introduction to ASP.NETasp.net tutorial for beginnersSearches related to asp .net tutorial for beginnersasp .net tutorial for beginners free downloadasp .net tutorial for beginners pdfasp.net tutorialasp.net 2010 tutorial for beginnersasp net tutorial for beginners with examplesajax tutorial for beginners in asp netasp net tutorial for beginners youtubejquery in asp net tutorial for beginnersBeginners Learn .NET and c# Csharp  Lab 1 Day 1|https://yt3.ggpht.com/-doHjtyH8IV4/AAAAAAAAAAI/AAAAAAAAAAA/iVDcOtCdcrw/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|https://www.youtube.com/watch?v=KVlXccl-XBA|https://www.youtube.com/channel/UCs6nmQViDpUw0nuIx9c_WvA|274,889|1,040|91

